TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,IIT 4.0 Integration — Phase 1: Foundation (Weeks 1-3),1,1,,,,,
task,Implement PhiCalculator class (iit/phi_calculator.py),2,2,,,,,
task,Implement simple_phi() — cosine similarity in projected space,3,3,,,,,
task,Implement _ksg_phi() — KSG mutual information estimator,3,3,,,,,
task,Implement calculate_batch_phi() for batch processing,3,3,,,,,
task,Add normalization and method switching (simple/ksg/mine),3,3,,,,,
task,Train CCA projection matrices on existing dataset,2,2,,,,,
task,Export text + image embeddings for all products with both,3,3,,,,,
task,Run sklearn CCA to learn (384→256) and (512→256) projections,3,3,,,,,
task,Save projection matrices to models/phi_projections.pkl,3,3,,,,,
task,Validate projections: check correlation on held-out set,3,3,,,,,
task,Modify storage/vector_search.py — add search_with_phi(),2,2,,,,,
task,Add PhiCalculator initialization to VectorSearch.__init__(),3,3,,,,,
task,Implement search_with_phi() returning both embeddings per row,3,3,,,,,
task,Calculate Φ for each result and compute final_score = α·cosine + β·Φ,3,3,,,,,
task,Re-rank results by final_score and return top-k,3,3,,,,,
task,Create new API endpoint POST /api/search/phi,2,2,,,,,
task,Add PhiSearchRequest schema (query + phi_weight + limit),3,3,,,,,
task,Add phi and cosine_score fields to SearchResult schema,3,3,,,,,
task,Wire router to call search_with_phi(),3,3,,,,,
task,Build frontend PhiBadge component (vv-web),2,2,,,,,
task,Create PhiBadge.tsx with color-coded Φ percentage,3,3,,,,,
task,Add hover tooltip explaining integration level (high/medium/low),3,3,,,,,
task,Integrate PhiBadge into ProductCard search results,3,3,,,,,
task,Add TypeScript types for phi and explainability fields,3,3,,,,,
task,Phase 1 Validation,2,2,,,,,
task,Calculate Φ scores for all products with both embeddings,3,3,,,,,
task,Analyze Φ distribution — verify normal distribution centered ~0.5,3,3,,,,,
task,Manual quality check: do high-Φ results feel more coherent?,3,3,,,,,
task,Statistical validation: Φ correlation with category precision,3,3,,,,,
task,Create phi_scores database table with indexes,3,3,,,,,
task,IIT 4.0 Integration — Phase 2: Search Quality (Weeks 3-5),1,1,,,,,
task,Implement Φ-weighted ranking in production API,2,2,,,,,
task,Add phi_weight parameter to search endpoint (default 0.3),3,3,,,,,
task,Cache Φ scores in phi_scores table for fast retrieval,3,3,,,,,
task,Update API to return explainability object in responses,3,3,,,,,
task,Build A/B testing infrastructure,2,2,,,,,
task,Implement ABTest class (control vs treatment),3,3,,,,,
task,Run A/B test: phi_weight=0 (control) vs phi_weight=0.3 (treatment),3,3,,,,,
task,Test with 14 standard queries × 10 trials each,3,3,,,,,
task,Analyze results: compute improvement and p-value,3,3,,,,,
task,Search quality regression testing,2,2,,,,,
task,Run existing search quality test suite with Φ-weighted ranking,3,3,,,,,
task,Verify vibe query scores improve +5-10%,3,3,,,,,
task,Verify no regression on era/culture queries,3,3,,,,,
task,Document score changes across all 14 query categories,3,3,,,,,
task,User explainability UI,2,2,,,,,
task,Add integration_level label (high/medium/low) to search results,3,3,,,,,
task,Add explanation text describing why image and text agree/disagree,3,3,,,,,
task,Verify >70% of users understand Φ explanation (informal study),3,3,,,,,
task,IIT 4.0 Integration — Phase 3: Attribute Optimization (Weeks 5-7),1,1,,,,,
task,Field Attribution Analysis,2,2,,,,,
task,Implement measure_field_contribution() — ablation per enrichment field,3,3,,,,,
task,Build rich text with all 23 fields as baseline,3,3,,,,,
task,For each field: rebuild rich text without it and measure Φ drop,3,3,,,,,
task,Run analysis across 100-1000 products,3,3,,,,,
task,Produce field importance ranking (sorted by average Φ contribution),3,3,,,,,
task,Maximal Complex Identification,2,2,,,,,
task,Implement find_maximal_complex() — greedy search for minimal high-Φ field set,3,3,,,,,
task,For each product: find subset achieving >95% of max Φ,3,3,,,,,
task,Store maximal complexes in maximal_complexes database table,3,3,,,,,
task,Analyze: how many fields needed on average? Which fields always appear?,3,3,,,,,
task,Optimized Rich Text Construction,2,2,,,,,
task,Implement build_rich_text_optimized() using only maximal complex fields,3,3,,,,,
task,Add fallback to top-8 global fields when per-product complex unavailable,3,3,,,,,
task,Re-embed 1000 products using optimized rich text,3,3,,,,,
task,Compare Φ distribution: optimized vs baseline (expect +0.05-0.10),3,3,,,,,
task,Run search quality suite and verify vibe query improvement +3-5%,3,3,,,,,
task,Update enrichment prompt to prioritize high-Φ fields,2,2,,,,,
task,Modify Claude enrichment prompt with PRIORITY vs SECONDARY field sections,3,3,,,,,
task,Re-run enrichment on sample products to verify prompt change,3,3,,,,,
task,IIT 4.0 Integration — Phase 4: Complex Discovery (Weeks 7-10),1,1,,,,,
task,Combinatorial Φ Analysis,2,2,,,,,
task,Implement discover_complexes() — test attribute combos for high Φ,3,3,,,,,
task,Define semantic_fields list (era/decade/vibe/silhouette/colors/material),3,3,,,,,
task,Test all combinations of size 2-5 with min_support=10,3,3,,,,,
task,Filter: remove subsets when superset has similar Φ,3,3,,,,,
task,Produce ranked list of discovered complexes with Φ and support counts,3,3,,,,,
task,Complex Ontology Construction,2,2,,,,,
task,Implement ComplexOntology class with inverted index,3,3,,,,,
task,Implement search_complexes() to find matching complexes by attributes,3,3,,,,,
task,Create discovered_complexes database table with JSONB attributes,3,3,,,,,
task,Name discovered complexes (e.g. GothVictorian / RomanticCottagecore),3,3,,,,,
task,Complex-Based Search,2,2,,,,,
task,Implement search_by_complex() — search products by complex name,3,3,,,,,
